Date : 2023-12-06 15:21:58
Directory : /Users/jinyizhou/myGithubRepo/Menumind-Final
Total : 57 files,  9004 codes, 360 comments, 246 blanks, all 9610 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          5 |      7,146 |          0 |          5 |      7,151 |
| JavaScript JSX |         20 |      1,091 |        299 |        111 |      1,501 |
| JavaScript     |         25 |        532 |         35 |         65 |        632 |
| CSS            |          3 |        171 |          3 |         29 |        203 |
| Markdown       |          2 |         39 |          0 |         35 |         74 |
| HTML           |          1 |         24 |         23 |          1 |         48 |
| XML            |          1 |          1 |          0 |          0 |          1 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                          |         57 |      9,004 |        360 |        246 |      9,610 |
| . (Files)                                                                                  |          1 |          1 |          0 |          2 |          3 |
| client                                                                                     |         49 |      1,815 |        344 |        222 |      2,381 |
| client (Files)                                                                             |          3 |        158 |          1 |         36 |        195 |
| client/public                                                                              |          2 |         49 |         23 |          2 |         74 |
| client/src                                                                                 |         44 |      1,608 |        320 |        184 |      2,112 |
| client/src (Files)                                                                         |          8 |        139 |         15 |         21 |        175 |
| client/src/animations                                                                      |          1 |         22 |          0 |          3 |         25 |
| client/src/api                                                                             |          1 |         40 |          3 |          6 |         49 |
| client/src/assets                                                                          |          3 |        161 |          3 |         21 |        185 |
| client/src/assets (Files)                                                                  |          1 |          3 |          0 |          0 |          3 |
| client/src/assets/css                                                                      |          1 |        121 |          3 |         19 |        143 |
| client/src/assets/icons                                                                    |          1 |         37 |          0 |          2 |         39 |
| client/src/components                                                                      |         18 |        878 |        288 |         86 |      1,252 |
| client/src/config                                                                          |          1 |         13 |          0 |          3 |         16 |
| client/src/containers                                                                      |          4 |        233 |         11 |         25 |        269 |
| client/src/context                                                                         |          7 |        109 |          0 |         17 |        126 |
| client/src/context/actions                                                                 |          3 |         58 |          0 |          7 |         65 |
| client/src/context/reducers                                                                |          4 |         51 |          0 |         10 |         61 |
| client/src/utils                                                                           |          1 |         13 |          0 |          2 |         15 |
| server                                                                                     |          7 |      7,188 |         16 |         22 |      7,226 |
| server (Files)                                                                             |          1 |         17 |          0 |          1 |         18 |
| server/functions                                                                           |          6 |      7,171 |         16 |         21 |      7,208 |
| server/functions (Files)                                                                   |          4 |      7,091 |         13 |         12 |      7,116 |
| server/functions/routes                                                                    |          2 |         80 |          3 |          9 |         92 |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                   | language       | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /Users/jinyizhou/myGithubRepo/Menumind-Final/README.md                                     | Markdown       |          1 |          0 |          2 |          3 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/README.md                              | Markdown       |         38 |          0 |         33 |         71 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/package.json                           | JSON           |         59 |          0 |          1 |         60 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/public/index.html                      | HTML           |         24 |         23 |          1 |         48 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/public/manifest.json                   | JSON           |         25 |          0 |          1 |         26 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/App.css                            | CSS            |         33 |          0 |          6 |         39 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/App.js                             | JavaScript     |         43 |         11 |          4 |         58 |
